id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
df5bb079-a2b8-41b5-80fa-e621bfe61690,40,Dahra,40000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ksar El Hirane,,,,,,,,,1
6de43d4d-338a-4cb0-a68e-e2d635d8f0ab,41,El Hadjadj,41000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Laghouat,,,,,,,,,1
56d30b7a-465a-462c-bc2a-3e132c89be63,41,Souk Ahras,41,wilaya,,TRUE,TRUE,Oued Morra,,,,,,,,,1
c405f087-4eb6-409a-9977-ef43a6219a4c,42,El Karimia,42000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Oued M'zi,,,,,,,,,2
1435179a-6dbb-4d9c-a186-c521b2a57319,42,Tipaza,42,wilaya,,TRUE,TRUE,Sebgag,,,,,,,,,3
c0d06b1b-1bfc-47ac-83e1-315b18d0fe2f,43,El Marsa,43000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Sidi Bouzid,,,,,,,,,1
0c8476c5-bbe4-46e4-80e5-67d3501195cc,43,Mila,43,wilaya,,TRUE,TRUE,Sidi Makhlouf,,,,,,,,,1
8d2d130f-460c-4867-85ef-641341a4d586,44,Ain Defla,44,wilaya,,TRUE,TRUE,Tadjemout,,,,,,,,,1
3a824969-9ffb-49ac-9722-bfb325073c19,44,Harchoun,44000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Tadjrouna,,,,,,,,,1
ecdf0888-0470-4b2f-beb8-24c99b6fc9cb,45,Naama,45,wilaya,,TRUE,TRUE,Taouiala,,,,,,,,,1
0d056318-f761-482c-938c-0c3326c63e80,45,Herenfa,45000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ain Babouche,,,,,,,,,1
320dd6a2-d8ae-49a1-9832-82b03505d687,46,Labiod Medjadja,46000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ain Beida,,,,,,,,,1
fc460ec5-3e71-489c-b95b-e5301ea68341,46,Ain Temouchent,46,wilaya,,TRUE,TRUE,Ain Diss,,,,,,,,,2
0693b196-8177-4b0a-b6cf-0951f7531177,47,Moussadek,47000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ain Fekroun,,,,,,,,,2
e7b51620-74f4-4748-85c5-216fb9b01b03,47,Ghardaia,47,wilaya,,TRUE,TRUE,Ain Kercha,,,,,,,,,1
adec6ba3-0e4a-4ff4-b90a-335f94cbb85e,48,Oued Fodda,48000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ain M'lila,,,,,,,,,2
ad58c5ee-868d-4acb-8f03-409f97a10370,48,Relizane,48,wilaya,,TRUE,TRUE,Ain Zitoun,,,,,,,,,3
fc12e8bb-399c-4fde-b82a-21467e3a4abf,49,Oued Goussine,49000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Behir Chergui,,,,,,,,,2
